episode,crop,season_return,avg100_return,actor_loss,critic_loss,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
265,maize,-354.6735,-429.2341,,,3220.0,0.0,-50.12,6309.3,-354.67,-429.23
266,maize,-522.8304,-430.6619,,,3150.0,0.0,-73.89,5468.7,-522.83,-430.66
267,maize,-259.5924,-431.3315,,,3180.0,0.0,-36.69,6593.6,-259.59,-431.33
268,maize,-653.708,-429.4776,,,3460.0,0.0,-92.38,5689.2,-653.71,-429.48
269,maize,-194.3393,-425.6581,,,2850.0,0.0,-27.46,6062.6,-194.34,-425.66
270,maize,-490.2362,-427.2811,,,3270.0,0.0,-69.28,5887.1,-490.24,-427.28
271,maize,-294.8674,-424.3095,,,3180.0,0.0,-41.67,6452.5,-294.87,-424.31
272,maize,-688.9373,-426.7786,,,3470.0,0.0,-97.36,5572.3,-688.94,-426.78
273,maize,-721.9602,-430.6,,,3610.0,0.0,-102.03,5776.2,-721.96,-430.6
274,maize,-578.4232,-429.9333,,,3360.0,0.0,-81.74,5750.3,-578.42,-429.93
275,maize,-478.1378,-429.9182,,,3120.0,0.0,-67.57,5575.4,-478.14,-429.92
276,maize,-265.1538,-429.0631,,,3170.0,0.0,-37.47,6547.4,-265.15,-429.06
277,maize,-384.6408,-427.7442,,,3170.0,0.0,-54.36,6069.4,-384.64,-427.74
